"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18","createTextNoteTest","Surefire suite","Sun Jun 15 17:43:17 GMT 2025","broken","Sun Jun 15 17:43:17 GMT 2025","com.googleKeep.ui.CreateTextNoteTest","Surefire test","com.googleKeep.ui.CreateTextNoteTest","createTextNoteTest"
"","1","createAndVerifyListNoteTest","Surefire suite","Sun Jun 15 17:43:17 GMT 2025","broken","Sun Jun 15 17:43:17 GMT 2025","com.googleKeep.ui.CreateListNoteTest","Surefire test","com.googleKeep.ui.CreateListNoteTest","createAndVerifyListNoteTest"
"","1","testLoginSuccess","Surefire suite","Sun Jun 15 17:43:17 GMT 2025","broken","Sun Jun 15 17:43:17 GMT 2025","com.googleKeep.ui.BaseTest","Surefire test","com.googleKeep.ui.BaseTest","testLoginSuccess"
"","3","firstTest","Surefire suite","Sun Jun 15 17:43:17 GMT 2025","failed","Sun Jun 15 17:43:17 GMT 2025","com.googleKeep.ui.BaseTest","Surefire test","com.googleKeep.ui.BaseTest","firstTest"
