"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","testLoginSuccess","Surefire suite","Sun Jun 15 18:37:48 GMT 2025","broken","Sun Jun 15 18:37:48 GMT 2025","com.googleKeep.ui.BaseTest","Surefire test","com.googleKeep.ui.BaseTest","testLoginSuccess"
"","3","firstTest","Surefire suite","Sun Jun 15 18:37:48 GMT 2025","failed","Sun Jun 15 18:37:48 GMT 2025","com.googleKeep.ui.BaseTest","Surefire test","com.googleKeep.ui.BaseTest","firstTest"
"","22","testCreateSimpleNote","Surefire suite","Sun Jun 15 18:37:48 GMT 2025","broken","Sun Jun 15 18:37:48 GMT 2025","com.googleKeep.ui.CreateNoteTest","Surefire test","com.googleKeep.ui.CreateNoteTest","testCreateSimpleNote"
